freq1,val1,note1,freq2,val2,note2,freq3,val3,note3,freq4,val4,note4,freq5,val5,note5,freq6,val6,note6,freq7,val7,note7,freq8,val8,note8,freq9,val9,note9,freq10,val10,note10,freq11,val11,note11,freq12,val12,note12,freq13,val13,note13,freq14,val14,note14,freq15,val15,note15,freq16,val16,note16,freq17,val17,note17,freq18,val18,note18,freq19,val19,note19,freq20,val20,note20,freq21,val21,note21,freq22,val22,note22,freq23,val23,note23,freq24,val24,note24,amount,actual,score
388.0,0.570358,12.0,383.0,0.194236,12.0,386.0,0.399096,12.0,388.0,0.570358,12.0,392.0,0.226028,12.0,394.0,0.35927,12.0,396.0,0.136055,12.0,399.0,0.164941,12.0,774.0,0.108938,12.0,776.0,0.177623,12.0,780.0,0.174636,12.0,797.0,0.102158,12.0,1148.0,0.33097,7.0,1150.0,0.181301,7.0,1157.0,0.365026,7.0,1159.0,0.102156,7.0,1164.0,0.471003,7.0,1168.0,0.430537,7.0,1170.0,0.308829,7.0,1176.0,0.216893,7.0,1178.0,0.15511,7.0,1189.0,0.105964,7.0,1196.0,0.100205,7.0,1198.0,0.118121,7.0,24.0,1.0,0.0
386.0,0.812266,12.0,386.0,0.812266,12.0,389.0,0.398808,12.0,770.0,0.144043,12.0,772.0,0.201814,12.0,775.0,0.253378,12.0,1156.0,0.274715,7.0,1160.0,0.474551,7.0,1163.0,0.239821,7.0,1166.0,0.114022,7.0,1168.0,0.178326,7.0,1170.0,0.222848,7.0,1175.0,0.105132,7.0,1537.0,0.395526,12.0,1554.0,0.114682,12.0,1556.0,0.612183,12.0,1558.0,0.28135,12.0,1561.0,0.180189,12.0,1563.0,0.227121,12.0,1923.0,0.23011,4.0,1931.0,0.310424,4.0,1933.0,0.514222,4.0,1942.0,0.205089,4.0,1944.0,0.159551,4.0,24.0,1.0,0.0
378.0,0.640931,12.0,378.0,0.640931,12.0,381.0,0.466749,12.0,383.0,0.114707,12.0,386.0,0.192673,12.0,390.0,0.15224,12.0,758.0,0.260046,12.0,761.0,0.177576,12.0,1127.0,0.28487,6.0,1136.0,0.267813,7.0,1139.0,0.644076,7.0,1144.0,0.180535,7.0,1148.0,0.10136,7.0,1151.0,0.267298,7.0,1156.0,0.101158,7.0,1504.0,0.639977,11.0,1511.0,0.372567,11.0,1516.0,0.68737,12.0,1529.0,0.383787,12.0,1532.0,0.284275,12.0,1534.0,0.164807,12.0,1543.0,0.17842,12.0,1548.0,0.13137,12.0,1885.0,0.126674,3.0,24.0,0.0,0.0
387.0,0.75211,12.0,387.0,0.75211,12.0,392.0,0.268627,12.0,396.0,0.106573,12.0,770.0,0.101099,12.0,774.0,0.195393,12.0,779.0,0.133341,12.0,1157.0,0.443207,7.0,1161.0,0.2722,7.0,1166.0,0.309204,7.0,1170.0,0.189607,7.0,1179.0,0.116466,7.0,1183.0,0.108023,7.0,1544.0,0.916307,12.0,1549.0,0.430534,12.0,1553.0,0.27598,12.0,1557.0,0.24165,12.0,1562.0,0.197561,12.0,1567.0,0.231878,12.0,1571.0,0.28673,12.0,1574.0,0.253424,12.0,1578.0,0.151005,12.0,1582.0,0.121869,12.0,1585.0,0.111831,12.0,24.0,1.0,0.0
389.0,0.429159,12.0,389.0,0.429159,12.0,393.0,0.341377,12.0,395.0,0.106816,12.0,397.0,0.122555,12.0,776.0,0.117263,12.0,786.0,0.162137,12.0,790.0,0.123455,12.0,1165.0,0.319092,7.0,1169.0,0.168225,7.0,1173.0,0.181649,7.0,1179.0,0.33749,7.0,1183.0,0.151765,7.0,1533.0,0.121051,12.0,1549.0,0.637274,12.0,1551.0,0.137251,12.0,1553.0,0.511222,12.0,1558.0,0.275428,12.0,1568.0,0.712505,12.0,1570.0,0.645039,12.0,1572.0,0.26213,12.0,1576.0,0.520693,12.0,1579.0,0.303508,12.0,1583.0,0.146096,12.0,24.0,1.0,0.0
380.0,0.524989,12.0,380.0,0.524989,12.0,382.0,0.304713,12.0,385.0,0.270305,12.0,389.0,0.147369,12.0,393.0,0.113436,12.0,758.0,0.127366,12.0,766.0,0.157619,12.0,1137.0,0.305808,7.0,1140.0,0.172688,7.0,1146.0,0.196108,7.0,1148.0,0.410248,7.0,1151.0,0.173151,7.0,1513.0,0.612116,12.0,1519.0,0.488576,12.0,1527.0,0.31086,12.0,1531.0,0.368216,12.0,1534.0,0.425296,12.0,1538.0,0.293059,12.0,1541.0,0.283348,12.0,1545.0,0.295134,12.0,1572.0,0.108736,12.0,1892.0,0.353682,3.0,1899.0,0.311937,3.0,24.0,1.0,0.0
442.0,0.153601,2.0,873.0,0.82657,2.0,877.0,0.229442,2.0,879.0,0.18249,2.0,881.0,0.128339,2.0,884.0,0.127709,2.0,1300.0,0.185969,9.0,1310.0,0.616188,9.0,1314.0,0.104346,9.0,1317.0,0.189275,9.0,1320.0,0.314411,9.0,1324.0,0.221155,9.0,1326.0,0.135715,9.0,1335.0,0.10144,9.0,1720.0,0.211978,2.0,1724.0,0.237451,2.0,1734.0,0.127711,2.0,1737.0,0.723373,2.0,1747.0,0.755748,2.0,1754.0,0.504373,2.0,1756.0,0.801858,2.0,1761.0,0.646582,2.0,1763.0,0.633642,2.0,1766.0,0.145989,2.0,24.0,3.0,0.0
491.0,1.0,4.0,480.0,0.188606,4.0,499.0,0.455983,4.0,501.0,0.201791,4.0,503.0,0.151811,4.0,509.0,0.169619,5.0,959.0,0.169196,4.0,961.0,0.16871,4.0,963.0,0.440742,4.0,974.0,0.209218,4.0,985.0,0.858929,4.0,987.0,0.864499,4.0,990.0,0.498849,4.0,992.0,0.443015,4.0,997.0,0.232921,4.0,1000.0,0.139779,4.0,1003.0,0.128765,4.0,1008.0,0.11078,4.0,1465.0,0.181106,11.0,1478.0,0.184343,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,5.0,0.05
525.0,0.810924,5.0,523.0,0.72153,5.0,525.0,0.810924,5.0,528.0,0.293642,5.0,531.0,0.550706,5.0,536.0,0.209489,6.0,539.0,0.208564,6.0,1040.0,0.126998,5.0,1048.0,0.225445,5.0,1050.0,0.146391,5.0,1052.0,0.106499,5.0,1561.0,0.229025,12.0,1577.0,0.192918,12.0,1579.0,0.383467,12.0,1598.0,0.183123,12.0,2058.0,0.102401,5.0,2062.0,0.17358,5.0,2080.0,0.652882,5.0,2086.0,0.659229,5.0,2091.0,0.200704,5.0,2102.0,0.751566,5.0,2104.0,0.513723,5.0,2110.0,0.520674,5.0,2116.0,0.206025,5.0,24.0,6.0,0.041666666666666664
590.0,1.0,7.0,572.0,0.20067,7.0,574.0,0.287904,7.0,576.0,0.119546,7.0,594.0,0.23366,7.0,606.0,0.120857,8.0,1141.0,0.105964,7.0,1143.0,0.117639,7.0,1154.0,0.163047,7.0,1156.0,0.159186,7.0,1158.0,0.121465,7.0,1164.0,0.130795,7.0,1166.0,0.118841,7.0,1179.0,0.24738,7.0,1182.0,0.323734,7.0,1184.0,0.265713,7.0,1726.0,0.16374,2.0,1728.0,0.174581,2.0,1736.0,0.113816,2.0,1756.0,0.205549,2.0,1768.0,0.385449,2.0,1772.0,0.527536,2.0,1774.0,0.890874,2.0,1778.0,0.371022,2.0,24.0,8.0,0.041666666666666664
661.0,0.742279,9.0,655.0,0.172135,9.0,661.0,0.742279,9.0,665.0,0.182769,9.0,668.0,0.103388,9.0,1291.0,0.10302,9.0,1931.0,0.145155,4.0,1936.0,0.467281,4.0,1942.0,0.108782,4.0,1956.0,0.840359,4.0,1968.0,0.121228,4.0,1972.0,0.392871,4.0,1977.0,0.6984,4.0,1981.0,0.443708,4.0,1983.0,0.252892,4.0,1986.0,0.98223,4.0,1989.0,0.127486,4.0,1994.0,0.469201,4.0,1997.0,0.417725,4.0,1999.0,0.391922,4.0,2003.0,0.445681,4.0,2006.0,0.192369,4.0,2008.0,0.317691,4.0,2014.0,0.154003,4.0,24.0,10.0,0.0
757.0,1.0,12.0,745.0,0.280671,11.0,767.0,0.844923,12.0,770.0,0.153587,12.0,773.0,0.263948,12.0,775.0,0.125288,12.0,1494.0,0.108601,11.0,1508.0,0.138941,11.0,1514.0,0.329823,12.0,1530.0,0.155247,12.0,1532.0,0.127907,12.0,7544.0,0.104578,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,12.0,0.08333333333333333
